admin_user_email,,english_phrase,arabic_phrase,french_phrase
sanoop@rightsolutions.ae,,Anoxomer,E323 مكملات غذائية,Anoxomère
sanoop@rightsolutions.ae,,Ammonium Lactate,E328 إضافات مرطب الجلد,Lactate d'ammonium
sanoop@rightsolutions.ae,,Ammonium Malate,E349 إضافات غذائية,Malate d'Ammonium
sanoop@rightsolutions.ae,,Ammonium Phosphatide,E442 مكملات غذائية,Phosphatide d'Ammonium
sanoop@rightsolutions.ae,,Ammonium phosphatides,E442 مكملات غذائية,Phosphatides d'Ammonium
sanoop@rightsolutions.ae,,Ammonium Polyphosphate,E545 مكملات غذائية,Polyphosphate d'ammonium
sanoop@rightsolutions.ae,,Bartlett Pear,اجاص بارتليت,Poire Williams
sanoop@rightsolutions.ae,,Bartlett Pear,اجاص بارتليت,Poire Williams
sanoop@rightsolutions.ae,,Cadbury Celebrations,احتفالات كادبوري,Célébrations de Cadbury
sanoop@rightsolutions.ae,,Citric acid esters of mono- and diglycerides of fatty acids,استرات حامض الستريك أحادية وثنائي هليسيريد الأحماض الدهنية,Esters d'acide citrique de mono et diglycérides d'acides gras
sanoop@rightsolutions.ae,,Cations,الايونات الموجبة,Cations
sanoop@rightsolutions.ae,,Aspartame,الأسبارتام,Aspartame
sanoop@rightsolutions.ae,,Aspartame,الأسبارتام,Aspartame
sanoop@rightsolutions.ae,,Colors and Coloring Adjuncts (),الألوان وملحقات التلوين (),Couleurs et colorants annexes
sanoop@rightsolutions.ae,,Colours and Colouring Adjuncts (),الألوان وملحقات التلوين (),Couleurs et colorants annexes
sanoop@rightsolutions.ae,,Fallow Deer,الأيل الأسمر الأوروبي,Daim
sanoop@rightsolutions.ae,,Aubergine,الباذنجان,Aubergine
sanoop@rightsolutions.ae,,Bulgur,البرغل,Boulgour
sanoop@rightsolutions.ae,,Bergamot,البرغموت,Bergamote
sanoop@rightsolutions.ae,,Black Plum,البرقوق الأسود,Prune noire
sanoop@rightsolutions.ae,,Dehydrated onions,البصل المجفف,Oignons déshydratés
sanoop@rightsolutions.ae,,Chervil,البقدونس الإفرنجي,Cerfeuil
sanoop@rightsolutions.ae,,Calcium Pectinate,البكتين الكالسيوم,Pectinate de calcium
sanoop@rightsolutions.ae,,Bentonite,البنتونايت,Bentonite
sanoop@rightsolutions.ae,,Butane,البوتان,Butane
sanoop@rightsolutions.ae,,Butane,البوتان,Butane
sanoop@rightsolutions.ae,,Beta carotene for color,البيتا كاروتين لإضافة اللون,Bêta-carotène pour la couleur
sanoop@rightsolutions.ae,,Beta carotene for colour,البيتا كاروتين لإضافة اللون,Bêta-carotène pour la couleur
sanoop@rightsolutions.ae,,Biotin,البيوتين,Biotine
sanoop@rightsolutions.ae,,Birch,التامول,Bouleau
sanoop@rightsolutions.ae,,Dehydrated apples,التفاح المجفف,Pommes déshydratées
sanoop@rightsolutions.ae,,Blueberry,التوت البري,Myrtille
sanoop@rightsolutions.ae,,Cranberries,التوت البري,Canneberges
sanoop@rightsolutions.ae,,Cranberry,التوت البري,Canneberge
sanoop@rightsolutions.ae,,Chives,الثوم المعمر,Ciboulette
sanoop@rightsolutions.ae,,Arugula,الجرجير,Roquette
sanoop@rightsolutions.ae,,Citrus Red 2,الحمضيات الحمراء 2,Agrumes Rouge 2
sanoop@rightsolutions.ae,,Buckwheat,الحنطة السوداء,Sarrasin
sanoop@rightsolutions.ae,,Bedouin Bread,الخبز البدوي,Pain bédouin
sanoop@rightsolutions.ae,,Bluegill,الخيشوم,Crapet arlequin
sanoop@rightsolutions.ae,,Aldehyde C-18,الداهايد سي-18,Aldéhyde C-18
sanoop@rightsolutions.ae,,Aldehyde C-9,الداهايد سي-9,Aldéhyde C-9
sanoop@rightsolutions.ae,,Dehydrated chicken,الدجاج المجفف,Poulet déshydraté
sanoop@rightsolutions.ae,,Chinese White Shrimp,الروبيان الأبيض الصيني,Crevette blanche chinoise
sanoop@rightsolutions.ae,,Basil,الريحان,Basilique
sanoop@rightsolutions.ae,,Citral,السترال,Citral
sanoop@rightsolutions.ae,,Black Magic,السحر الأسود,Magie noire
sanoop@rightsolutions.ae,,Calories from Fat,السعرات الحرارية من الدهون,Calories provenant des lipides
sanoop@rightsolutions.ae,,Chard,السلق,Bettes
sanoop@rightsolutions.ae,,Cellulose,السلولوز,Cellulose
sanoop@rightsolutions.ae,,Cellulose,السلولوز,Cellulose
sanoop@rightsolutions.ae,,Blowfish,السمكة المنتفخة,Diodontidae
sanoop@rightsolutions.ae,,Acacia,السنط,Acacia
