admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,Anoxomère,FRENCH,Anoxomer,ENGLISH,batch 1
sanoop@rightsolutions.ae,Lactate d'ammonium,FRENCH,Ammonium Lactate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Malate d'Ammonium,FRENCH,Ammonium Malate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Phosphatide d'Ammonium,FRENCH,Ammonium Phosphatide,ENGLISH,batch 1
sanoop@rightsolutions.ae,Phosphatides d'Ammonium,FRENCH,Ammonium phosphatides,ENGLISH,batch 1
sanoop@rightsolutions.ae,Polyphosphate d'ammonium,FRENCH,Ammonium Polyphosphate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Poire Williams,FRENCH,Bartlett Pear,ENGLISH,batch 1
sanoop@rightsolutions.ae,Poire Williams,FRENCH,Bartlett Pear,ENGLISH,batch 1
sanoop@rightsolutions.ae,Célébrations de Cadbury,FRENCH,Cadbury Celebrations,ENGLISH,batch 1
sanoop@rightsolutions.ae,Esters d'acide citrique de mono et diglycérides d'acides gras,FRENCH,Citric acid esters of mono- and diglycerides of fatty acids,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cations,FRENCH,Cations,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aspartame,FRENCH,Aspartame,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aspartame,FRENCH,Aspartame,ENGLISH,batch 1
sanoop@rightsolutions.ae,Couleurs et colorants annexes,FRENCH,Colors and Coloring Adjuncts (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Couleurs et colorants annexes,FRENCH,Colours and Colouring Adjuncts (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Daim,FRENCH,Fallow Deer,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aubergine,FRENCH,Aubergine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Boulgour,FRENCH,Bulgur,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bergamote,FRENCH,Bergamot,ENGLISH,batch 1
sanoop@rightsolutions.ae,Prune noire,FRENCH,Black Plum,ENGLISH,batch 1
sanoop@rightsolutions.ae,Oignons déshydratés,FRENCH,Dehydrated onions,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cerfeuil,FRENCH,Chervil,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pectinate de calcium,FRENCH,Calcium Pectinate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bentonite,FRENCH,Bentonite,ENGLISH,batch 1
sanoop@rightsolutions.ae,Butane,FRENCH,Butane,ENGLISH,batch 1
sanoop@rightsolutions.ae,Butane,FRENCH,Butane,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bêta-carotène pour la couleur,FRENCH,Beta carotene for color,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bêta-carotène pour la couleur,FRENCH,Beta carotene for colour,ENGLISH,batch 1
sanoop@rightsolutions.ae,Biotine,FRENCH,Biotin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bouleau,FRENCH,Birch,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pommes déshydratées,FRENCH,Dehydrated apples,ENGLISH,batch 1
sanoop@rightsolutions.ae,Myrtille,FRENCH,Blueberry,ENGLISH,batch 1
sanoop@rightsolutions.ae,Canneberges,FRENCH,Cranberries,ENGLISH,batch 1
sanoop@rightsolutions.ae,Canneberge,FRENCH,Cranberry,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ciboulette,FRENCH,Chives,ENGLISH,batch 1
sanoop@rightsolutions.ae,Roquette,FRENCH,Arugula,ENGLISH,batch 1
sanoop@rightsolutions.ae,Agrumes Rouge 2,FRENCH,Citrus Red 2,ENGLISH,batch 1
sanoop@rightsolutions.ae,Sarrasin,FRENCH,Buckwheat,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pain bédouin,FRENCH,Bedouin Bread,ENGLISH,batch 1
sanoop@rightsolutions.ae,Crapet arlequin,FRENCH,Bluegill,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aldéhyde C-18,FRENCH,Aldehyde C-18,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aldéhyde C-9,FRENCH,Aldehyde C-9,ENGLISH,batch 1
sanoop@rightsolutions.ae,Poulet déshydraté,FRENCH,Dehydrated chicken,ENGLISH,batch 1
sanoop@rightsolutions.ae,Crevette blanche chinoise,FRENCH,Chinese White Shrimp,ENGLISH,batch 1
sanoop@rightsolutions.ae,Basilique,FRENCH,Basil,ENGLISH,batch 1
sanoop@rightsolutions.ae,Citral,FRENCH,Citral,ENGLISH,batch 1
sanoop@rightsolutions.ae,Magie noire,FRENCH,Black Magic,ENGLISH,batch 1
sanoop@rightsolutions.ae,Calories provenant des lipides,FRENCH,Calories from Fat,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bettes,FRENCH,Chard,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cellulose,FRENCH,Cellulose,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cellulose,FRENCH,Cellulose,ENGLISH,batch 1
sanoop@rightsolutions.ae,Diodontidae,FRENCH,Blowfish,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acacia,FRENCH,Acacia,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cystéine,FRENCH,Cysteine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cystéine,FRENCH,Cysteine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aneth,FRENCH,Dill,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aneth et ses dérivés,FRENCH,Dill and Its Derivatives,ENGLISH,batch 1
sanoop@rightsolutions.ae,Orge maltée,FRENCH,"Barley, Malted",ENGLISH,batch 1
sanoop@rightsolutions.ae,Racine de betterave,FRENCH,Beetroot,ENGLISH,batch 1
sanoop@rightsolutions.ae,Rouge betterave,FRENCH,Beet Red,ENGLISH,batch 1
sanoop@rightsolutions.ae,Betterave Rouge - Bétanine,FRENCH,Beetroot Red - Betanin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Feuilles de betterave,FRENCH,Beet Greens,ENGLISH,batch 1
sanoop@rightsolutions.ae,Betteraves déshydratées,FRENCH,"Beets, Dehydrated",ENGLISH,batch 1
sanoop@rightsolutions.ae,Hobnobs au chocolat noir,FRENCH,Dark Chocolate Hobnobs,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chocolat noir,FRENCH,Dark Chocolate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Kcal d'énergie,FRENCH,Energy kcal,ENGLISH,batch 1
sanoop@rightsolutions.ae,Onyx noir,FRENCH,Black Onyx,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cerf,FRENCH,Deer,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chili,FRENCH,Chili,ENGLISH,batch 1
sanoop@rightsolutions.ae,Piment,FRENCH,Chili Pepper,ENGLISH,batch 1
sanoop@rightsolutions.ae,"Piment, Paprika",FRENCH,"Chili Pepper, Paprika",ENGLISH,batch 1
sanoop@rightsolutions.ae,"Piment, piment de cayenne",FRENCH,"Chili Pepper, Cayenne Pepper",ENGLISH,batch 1
sanoop@rightsolutions.ae,"Piment, Habanero",FRENCH,"Chili Pepper, Habanero",ENGLISH,batch 1
sanoop@rightsolutions.ae,"Piment, jalapeno",FRENCH,"Chili Pepper, Jalapeno",ENGLISH,batch 1
sanoop@rightsolutions.ae,"Piment, piment Tabasco",FRENCH,"Chili Pepper, Tabasco Pepper",ENGLISH,batch 1
sanoop@rightsolutions.ae,Poivron,FRENCH,Bell Pepper,ENGLISH,batch 1
sanoop@rightsolutions.ae,Poivron,FRENCH,Bell Pepper,ENGLISH,batch 1
sanoop@rightsolutions.ae,Poivre cerise,FRENCH,Cherry Pepper,ENGLISH,batch 1
sanoop@rightsolutions.ae,Poivron,FRENCH,Capsicum,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fèves,FRENCH,Broad Beans,ENGLISH,batch 1
sanoop@rightsolutions.ae,Clou de girofle,FRENCH,Clove,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pomme à la crème,FRENCH,Custard Apple,ENGLISH,batch 1
sanoop@rightsolutions.ae,Anacardier,FRENCH,Cashew,ENGLISH,batch 1
sanoop@rightsolutions.ae,Carraghénane,FRENCH,Carrageenan,ENGLISH,batch 1
sanoop@rightsolutions.ae,Carraghénane,FRENCH,Carrageenan,ENGLISH,batch 1
sanoop@rightsolutions.ae,Carotènes,FRENCH,Carotenes,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caséine,FRENCH,Casein,ENGLISH,batch 1
sanoop@rightsolutions.ae,Solides de cacao,FRENCH,Cocoa solids,ENGLISH,batch 1
sanoop@rightsolutions.ae,Calcium (Ca),FRENCH,Calcium (Ca),ENGLISH,batch 1
sanoop@rightsolutions.ae,"Calcium, Ca",FRENCH,"Calcium, Ca",ENGLISH,batch 1
sanoop@rightsolutions.ae,5'-ribonucléotides de calcium,FRENCH,Calcium 5'-ribonucleotides,ENGLISH,batch 1
sanoop@rightsolutions.ae,5'-ribonucléotides de calcium,FRENCH,Calcium 5'-ribonucleotides,ENGLISH,batch 1
sanoop@rightsolutions.ae,Saccharine de calcium,FRENCH,Calcium Saccharin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Inosinate de calcium,FRENCH,Calcium Inosinate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Canola,FRENCH,Canola,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caramel,FRENCH,Caramel,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caramel,FRENCH,Caramel,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caramelle,FRENCH,Caramelle,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caramel I,FRENCH,Caramel I,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caramel II,FRENCH,Caramel II,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caramel III,FRENCH,Caramel III,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caramel IV,FRENCH,Caramel IV,ENGLISH,batch 1
sanoop@rightsolutions.ae,"Glucides, par différence",FRENCH,"Carbohydrate, by difference",ENGLISH,batch 1
sanoop@rightsolutions.ae,Curcumine,FRENCH,Curcumin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Curcumine,FRENCH,Curcumin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chou,FRENCH,Cabbage,ENGLISH,batch 1
sanoop@rightsolutions.ae,Manioc,FRENCH,Cassava,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chlore,FRENCH,Chlorine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chlorophylle,FRENCH,Chlorophyll,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chlorophylles,FRENCH,Chlorophylls and Chlorophyllins,ENGLISH,batch 1
sanoop@rightsolutions.ae,Quantité,FRENCH,Amount,ENGLISH,batch 1
sanoop@rightsolutions.ae,Quantité par 100 grammes,FRENCH,Amount per 100 grams,ENGLISH,batch 1
sanoop@rightsolutions.ae,Quantité par 100 g,FRENCH,Amount per 100 g,ENGLISH,batch 1
sanoop@rightsolutions.ae,Coca Cola,FRENCH,Coca-Cola,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cola,FRENCH,Cola,ENGLISH,batch 1
sanoop@rightsolutions.ae,Collagène,FRENCH,Collagen,ENGLISH,batch 1
