admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,E323 مكملات غذائية,ARABIC,Anoxomer,ENGLISH,batch 1
sanoop@rightsolutions.ae,E328 إضافات مرطب الجلد,ARABIC,Ammonium Lactate,ENGLISH,batch 1
sanoop@rightsolutions.ae,E349 إضافات غذائية,ARABIC,Ammonium Malate,ENGLISH,batch 1
sanoop@rightsolutions.ae,E442 مكملات غذائية,ARABIC,Ammonium Phosphatide,ENGLISH,batch 1
sanoop@rightsolutions.ae,E442 مكملات غذائية,ARABIC,Ammonium phosphatides,ENGLISH,batch 1
sanoop@rightsolutions.ae,E545 مكملات غذائية,ARABIC,Ammonium Polyphosphate,ENGLISH,batch 1
sanoop@rightsolutions.ae,اجاص بارتليت,ARABIC,Bartlett Pear,ENGLISH,batch 1
sanoop@rightsolutions.ae,اجاص بارتليت,ARABIC,Bartlett Pear,ENGLISH,batch 1
sanoop@rightsolutions.ae,احتفالات كادبوري,ARABIC,Cadbury Celebrations,ENGLISH,batch 1
sanoop@rightsolutions.ae,استرات حامض الستريك أحادية وثنائي هليسيريد الأحماض الدهنية,ARABIC,Citric acid esters of mono- and diglycerides of fatty acids,ENGLISH,batch 1
sanoop@rightsolutions.ae,الايونات الموجبة,ARABIC,Cations,ENGLISH,batch 1
sanoop@rightsolutions.ae,الأسبارتام,ARABIC,Aspartame,ENGLISH,batch 1
sanoop@rightsolutions.ae,الأسبارتام,ARABIC,Aspartame,ENGLISH,batch 1
sanoop@rightsolutions.ae,الألوان وملحقات التلوين (),ARABIC,Colors and Coloring Adjuncts (),ENGLISH,batch 1
sanoop@rightsolutions.ae,الألوان وملحقات التلوين (),ARABIC,Colours and Colouring Adjuncts (),ENGLISH,batch 1
sanoop@rightsolutions.ae,الأيل الأسمر الأوروبي,ARABIC,Fallow Deer,ENGLISH,batch 1
sanoop@rightsolutions.ae,الباذنجان,ARABIC,Aubergine,ENGLISH,batch 1
sanoop@rightsolutions.ae,البرغل,ARABIC,Bulgur,ENGLISH,batch 1
sanoop@rightsolutions.ae,البرغموت,ARABIC,Bergamot,ENGLISH,batch 1
sanoop@rightsolutions.ae,البرقوق الأسود,ARABIC,Black Plum,ENGLISH,batch 1
sanoop@rightsolutions.ae,البصل المجفف,ARABIC,Dehydrated onions,ENGLISH,batch 1
sanoop@rightsolutions.ae,البقدونس الإفرنجي,ARABIC,Chervil,ENGLISH,batch 1
sanoop@rightsolutions.ae,البكتين الكالسيوم,ARABIC,Calcium Pectinate,ENGLISH,batch 1
sanoop@rightsolutions.ae,البنتونايت,ARABIC,Bentonite,ENGLISH,batch 1
sanoop@rightsolutions.ae,البوتان,ARABIC,Butane,ENGLISH,batch 1
sanoop@rightsolutions.ae,البوتان,ARABIC,Butane,ENGLISH,batch 1
sanoop@rightsolutions.ae,البيتا كاروتين لإضافة اللون,ARABIC,Beta carotene for color,ENGLISH,batch 1
sanoop@rightsolutions.ae,البيتا كاروتين لإضافة اللون,ARABIC,Beta carotene for colour,ENGLISH,batch 1
sanoop@rightsolutions.ae,البيوتين,ARABIC,Biotin,ENGLISH,batch 1
sanoop@rightsolutions.ae,التامول,ARABIC,Birch,ENGLISH,batch 1
sanoop@rightsolutions.ae,التفاح المجفف,ARABIC,Dehydrated apples,ENGLISH,batch 1
sanoop@rightsolutions.ae,التوت البري,ARABIC,Blueberry,ENGLISH,batch 1
sanoop@rightsolutions.ae,التوت البري,ARABIC,Cranberries,ENGLISH,batch 1
sanoop@rightsolutions.ae,التوت البري,ARABIC,Cranberry,ENGLISH,batch 1
sanoop@rightsolutions.ae,الثوم المعمر,ARABIC,Chives,ENGLISH,batch 1
sanoop@rightsolutions.ae,الجرجير,ARABIC,Arugula,ENGLISH,batch 1
sanoop@rightsolutions.ae,الحمضيات الحمراء 2,ARABIC,Citrus Red 2,ENGLISH,batch 1
sanoop@rightsolutions.ae,الحنطة السوداء,ARABIC,Buckwheat,ENGLISH,batch 1
sanoop@rightsolutions.ae,الخبز البدوي,ARABIC,Bedouin Bread,ENGLISH,batch 1
sanoop@rightsolutions.ae,الخيشوم,ARABIC,Bluegill,ENGLISH,batch 1
sanoop@rightsolutions.ae,الداهايد سي-18,ARABIC,Aldehyde C-18,ENGLISH,batch 1
sanoop@rightsolutions.ae,الداهايد سي-9,ARABIC,Aldehyde C-9,ENGLISH,batch 1
sanoop@rightsolutions.ae,الدجاج المجفف,ARABIC,Dehydrated chicken,ENGLISH,batch 1
sanoop@rightsolutions.ae,الروبيان الأبيض الصيني,ARABIC,Chinese White Shrimp,ENGLISH,batch 1
sanoop@rightsolutions.ae,الريحان,ARABIC,Basil,ENGLISH,batch 1
sanoop@rightsolutions.ae,السترال,ARABIC,Citral,ENGLISH,batch 1
sanoop@rightsolutions.ae,السحر الأسود,ARABIC,Black Magic,ENGLISH,batch 1
