admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,Anoxomer,ENGLISH,Anoxomère,FRENCH,batch 1
sanoop@rightsolutions.ae,Ammonium Lactate,ENGLISH,Lactate d'ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,Ammonium Malate,ENGLISH,Malate d'Ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,Ammonium Phosphatide,ENGLISH,Phosphatide d'Ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,Ammonium phosphatides,ENGLISH,Phosphatides d'Ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,Ammonium Polyphosphate,ENGLISH,Polyphosphate d'ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,Bartlett Pear,ENGLISH,Poire Williams,FRENCH,batch 1
sanoop@rightsolutions.ae,Bartlett Pear,ENGLISH,Poire Williams,FRENCH,batch 1
sanoop@rightsolutions.ae,Cadbury Celebrations,ENGLISH,Célébrations de Cadbury,FRENCH,batch 1
sanoop@rightsolutions.ae,Citric acid esters of mono- and diglycerides of fatty acids,ENGLISH,Esters d'acide citrique de mono et diglycérides d'acides gras,FRENCH,batch 1
sanoop@rightsolutions.ae,Cations,ENGLISH,Cations,FRENCH,batch 1
sanoop@rightsolutions.ae,Aspartame,ENGLISH,Aspartame,FRENCH,batch 1
sanoop@rightsolutions.ae,Aspartame,ENGLISH,Aspartame,FRENCH,batch 1
sanoop@rightsolutions.ae,Colors and Coloring Adjuncts (),ENGLISH,Couleurs et colorants annexes,FRENCH,batch 1
sanoop@rightsolutions.ae,Colours and Colouring Adjuncts (),ENGLISH,Couleurs et colorants annexes,FRENCH,batch 1
sanoop@rightsolutions.ae,Fallow Deer,ENGLISH,Daim,FRENCH,batch 1
sanoop@rightsolutions.ae,Aubergine,ENGLISH,Aubergine,FRENCH,batch 1
sanoop@rightsolutions.ae,Bulgur,ENGLISH,Boulgour,FRENCH,batch 1
sanoop@rightsolutions.ae,Bergamot,ENGLISH,Bergamote,FRENCH,batch 1
sanoop@rightsolutions.ae,Black Plum,ENGLISH,Prune noire,FRENCH,batch 1
sanoop@rightsolutions.ae,Dehydrated onions,ENGLISH,Oignons déshydratés,FRENCH,batch 1
sanoop@rightsolutions.ae,Chervil,ENGLISH,Cerfeuil,FRENCH,batch 1
sanoop@rightsolutions.ae,Calcium Pectinate,ENGLISH,Pectinate de calcium,FRENCH,batch 1
sanoop@rightsolutions.ae,Bentonite,ENGLISH,Bentonite,FRENCH,batch 1
sanoop@rightsolutions.ae,Butane,ENGLISH,Butane,FRENCH,batch 1
sanoop@rightsolutions.ae,Butane,ENGLISH,Butane,FRENCH,batch 1
sanoop@rightsolutions.ae,Beta carotene for color,ENGLISH,Bêta-carotène pour la couleur,FRENCH,batch 1
sanoop@rightsolutions.ae,Beta carotene for colour,ENGLISH,Bêta-carotène pour la couleur,FRENCH,batch 1
sanoop@rightsolutions.ae,Biotin,ENGLISH,Biotine,FRENCH,batch 1
sanoop@rightsolutions.ae,Birch,ENGLISH,Bouleau,FRENCH,batch 1
