admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,E323 مكملات غذائية,ARABIC,Anoxomère,FRENCH,batch 1
sanoop@rightsolutions.ae,E328 إضافات مرطب الجلد,ARABIC,Lactate d'ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,E349 إضافات غذائية,ARABIC,Malate d'Ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,E442 مكملات غذائية,ARABIC,Phosphatide d'Ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,E442 مكملات غذائية,ARABIC,Phosphatides d'Ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,E545 مكملات غذائية,ARABIC,Polyphosphate d'ammonium,FRENCH,batch 1
sanoop@rightsolutions.ae,اجاص بارتليت,ARABIC,Poire Williams,FRENCH,batch 1
sanoop@rightsolutions.ae,اجاص بارتليت,ARABIC,Poire Williams,FRENCH,batch 1
sanoop@rightsolutions.ae,احتفالات كادبوري,ARABIC,Célébrations de Cadbury,FRENCH,batch 1
sanoop@rightsolutions.ae,استرات حامض الستريك أحادية وثنائي هليسيريد الأحماض الدهنية,ARABIC,Esters d'acide citrique de mono et diglycérides d'acides gras,FRENCH,batch 1
sanoop@rightsolutions.ae,الايونات الموجبة,ARABIC,Cations,FRENCH,batch 1
sanoop@rightsolutions.ae,الأسبارتام,ARABIC,Aspartame,FRENCH,batch 1
sanoop@rightsolutions.ae,الأسبارتام,ARABIC,Aspartame,FRENCH,batch 1
sanoop@rightsolutions.ae,الألوان وملحقات التلوين (),ARABIC,Couleurs et colorants annexes,FRENCH,batch 1
sanoop@rightsolutions.ae,الألوان وملحقات التلوين (),ARABIC,Couleurs et colorants annexes,FRENCH,batch 1
sanoop@rightsolutions.ae,الأيل الأسمر الأوروبي,ARABIC,Daim,FRENCH,batch 1
sanoop@rightsolutions.ae,الباذنجان,ARABIC,Aubergine,FRENCH,batch 1
sanoop@rightsolutions.ae,البرغل,ARABIC,Boulgour,FRENCH,batch 1
sanoop@rightsolutions.ae,البرغموت,ARABIC,Bergamote,FRENCH,batch 1
sanoop@rightsolutions.ae,البرقوق الأسود,ARABIC,Prune noire,FRENCH,batch 1
sanoop@rightsolutions.ae,البصل المجفف,ARABIC,Oignons déshydratés,FRENCH,batch 1
sanoop@rightsolutions.ae,البقدونس الإفرنجي,ARABIC,Cerfeuil,FRENCH,batch 1
sanoop@rightsolutions.ae,البكتين الكالسيوم,ARABIC,Pectinate de calcium,FRENCH,batch 1
sanoop@rightsolutions.ae,البنتونايت,ARABIC,Bentonite,FRENCH,batch 1
sanoop@rightsolutions.ae,البوتان,ARABIC,Butane,FRENCH,batch 1
sanoop@rightsolutions.ae,البوتان,ARABIC,Butane,FRENCH,batch 1
sanoop@rightsolutions.ae,البيتا كاروتين لإضافة اللون,ARABIC,Bêta-carotène pour la couleur,FRENCH,batch 1
sanoop@rightsolutions.ae,البيتا كاروتين لإضافة اللون,ARABIC,Bêta-carotène pour la couleur,FRENCH,batch 1
sanoop@rightsolutions.ae,البيوتين,ARABIC,Biotine,FRENCH,batch 1
sanoop@rightsolutions.ae,التامول,ARABIC,Bouleau,FRENCH,batch 1
sanoop@rightsolutions.ae,التفاح المجفف,ARABIC,Pommes déshydratées,FRENCH,batch 1
sanoop@rightsolutions.ae,التوت البري,ARABIC,Myrtille,FRENCH,batch 1
sanoop@rightsolutions.ae,التوت البري,ARABIC,Canneberges,FRENCH,batch 1
sanoop@rightsolutions.ae,التوت البري,ARABIC,Canneberge,FRENCH,batch 1
sanoop@rightsolutions.ae,الثوم المعمر,ARABIC,Ciboulette,FRENCH,batch 1
sanoop@rightsolutions.ae,الجرجير,ARABIC,Roquette,FRENCH,batch 1
sanoop@rightsolutions.ae,الحمضيات الحمراء 2,ARABIC,Agrumes Rouge 2,FRENCH,batch 1
sanoop@rightsolutions.ae,الحنطة السوداء,ARABIC,Sarrasin,FRENCH,batch 1
sanoop@rightsolutions.ae,الخبز البدوي,ARABIC,Pain bédouin,FRENCH,batch 1
sanoop@rightsolutions.ae,الخيشوم,ARABIC,Crapet arlequin,FRENCH,batch 1
sanoop@rightsolutions.ae,الداهايد سي-18,ARABIC,Aldéhyde C-18,FRENCH,batch 1
sanoop@rightsolutions.ae,الداهايد سي-9,ARABIC,Aldéhyde C-9,FRENCH,batch 1
sanoop@rightsolutions.ae,الدجاج المجفف,ARABIC,Poulet déshydraté,FRENCH,batch 1
sanoop@rightsolutions.ae,الروبيان الأبيض الصيني,ARABIC,Crevette blanche chinoise,FRENCH,batch 1
sanoop@rightsolutions.ae,الريحان,ARABIC,Basilique,FRENCH,batch 1
sanoop@rightsolutions.ae,السترال,ARABIC,Citral,FRENCH,batch 1
sanoop@rightsolutions.ae,السحر الأسود,ARABIC,Magie noire,FRENCH,batch 1
sanoop@rightsolutions.ae,السعرات الحرارية من الدهون,ARABIC,Calories provenant des lipides,FRENCH,batch 1
sanoop@rightsolutions.ae,السلق,ARABIC,Bettes,FRENCH,batch 1
sanoop@rightsolutions.ae,السلولوز,ARABIC,Cellulose,FRENCH,batch 1
sanoop@rightsolutions.ae,السلولوز,ARABIC,Cellulose,FRENCH,batch 1
sanoop@rightsolutions.ae,السمكة المنتفخة,ARABIC,Diodontidae,FRENCH,batch 1
sanoop@rightsolutions.ae,السنط,ARABIC,Acacia,FRENCH,batch 1
sanoop@rightsolutions.ae,السيستين,ARABIC,Cystéine,FRENCH,batch 1
sanoop@rightsolutions.ae,السيستين,ARABIC,Cystéine,FRENCH,batch 1
sanoop@rightsolutions.ae,الشبت,ARABIC,Aneth,FRENCH,batch 1
sanoop@rightsolutions.ae,الشبت ومشتقاته,ARABIC,Aneth et ses dérivés,FRENCH,batch 1
sanoop@rightsolutions.ae,"الشعير، شراب",ARABIC,Orge maltée,FRENCH,batch 1
sanoop@rightsolutions.ae,الشمندر,ARABIC,Racine de betterave,FRENCH,batch 1
sanoop@rightsolutions.ae,الشمندر الأحمر,ARABIC,Rouge betterave,FRENCH,batch 1
sanoop@rightsolutions.ae,الشمندر الأحمر - البيتانين,ARABIC,Betterave Rouge - Bétanine,FRENCH,batch 1
sanoop@rightsolutions.ae,الشمندر الأخضر,ARABIC,Feuilles de betterave,FRENCH,batch 1
sanoop@rightsolutions.ae,"الشمندر، مجفف",ARABIC,Betteraves déshydratées,FRENCH,batch 1
sanoop@rightsolutions.ae,الشوكولاتة الداكنة هوبس نوبس,ARABIC,Hobnobs au chocolat noir,FRENCH,batch 1
sanoop@rightsolutions.ae,الشوكولاته الداكنة,ARABIC,Chocolat noir,FRENCH,batch 1
sanoop@rightsolutions.ae,الطاقة بالكيلو سعرة حرارية,ARABIC,Kcal d'énergie,FRENCH,batch 1
sanoop@rightsolutions.ae,العقيق الأسود,ARABIC,Onyx noir,FRENCH,batch 1
sanoop@rightsolutions.ae,الغزال,ARABIC,Cerf,FRENCH,batch 1
sanoop@rightsolutions.ae,الفلفل الحار,ARABIC,Chili,FRENCH,batch 1
sanoop@rightsolutions.ae,الفلفل الحار,ARABIC,Piment,FRENCH,batch 1
sanoop@rightsolutions.ae,"الفلفل الحار ، الفلفل الحلو",ARABIC,"Piment, Paprika",FRENCH,batch 1
sanoop@rightsolutions.ae,"الفلفل الحار ، الفلفل حريف",ARABIC,"Piment, piment de cayenne",FRENCH,batch 1
sanoop@rightsolutions.ae,"الفلفل الحار ، هابانيرو",ARABIC,"Piment, Habanero",FRENCH,batch 1
sanoop@rightsolutions.ae,"الفلفل الحار ، هالابينو",ARABIC,"Piment, jalapeno",FRENCH,batch 1
sanoop@rightsolutions.ae,الفلفل الحار والفلفل الحار,ARABIC,"Piment, piment Tabasco",FRENCH,batch 1
sanoop@rightsolutions.ae,الفلفل الحلو,ARABIC,Poivron,FRENCH,batch 1
sanoop@rightsolutions.ae,الفلفل الحلو,ARABIC,Poivron,FRENCH,batch 1
sanoop@rightsolutions.ae,الفلفل الكرزي,ARABIC,Poivre cerise,FRENCH,batch 1
