admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,Anoxomère,FRENCH,E323 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Lactate d'ammonium,FRENCH,E328 إضافات مرطب الجلد,ARABIC,batch 1
sanoop@rightsolutions.ae,Malate d'Ammonium,FRENCH,E349 إضافات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Phosphatide d'Ammonium,FRENCH,E442 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Phosphatides d'Ammonium,FRENCH,E442 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Polyphosphate d'ammonium,FRENCH,E545 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Poire Williams,FRENCH,اجاص بارتليت,ARABIC,batch 1
sanoop@rightsolutions.ae,Poire Williams,FRENCH,اجاص بارتليت,ARABIC,batch 1
sanoop@rightsolutions.ae,Célébrations de Cadbury,FRENCH,احتفالات كادبوري,ARABIC,batch 1
sanoop@rightsolutions.ae,Esters d'acide citrique de mono et diglycérides d'acides gras,FRENCH,استرات حامض الستريك أحادية وثنائي هليسيريد الأحماض الدهنية,ARABIC,batch 1
sanoop@rightsolutions.ae,Cations,FRENCH,الايونات الموجبة,ARABIC,batch 1
sanoop@rightsolutions.ae,Aspartame,FRENCH,الأسبارتام,ARABIC,batch 1
sanoop@rightsolutions.ae,Aspartame,FRENCH,الأسبارتام,ARABIC,batch 1
sanoop@rightsolutions.ae,Couleurs et colorants annexes,FRENCH,الألوان وملحقات التلوين (),ARABIC,batch 1
sanoop@rightsolutions.ae,Couleurs et colorants annexes,FRENCH,الألوان وملحقات التلوين (),ARABIC,batch 1
sanoop@rightsolutions.ae,Daim,FRENCH,الأيل الأسمر الأوروبي,ARABIC,batch 1
sanoop@rightsolutions.ae,Aubergine,FRENCH,الباذنجان,ARABIC,batch 1
sanoop@rightsolutions.ae,Boulgour,FRENCH,البرغل,ARABIC,batch 1
sanoop@rightsolutions.ae,Bergamote,FRENCH,البرغموت,ARABIC,batch 1
sanoop@rightsolutions.ae,Prune noire,FRENCH,البرقوق الأسود,ARABIC,batch 1
sanoop@rightsolutions.ae,Oignons déshydratés,FRENCH,البصل المجفف,ARABIC,batch 1
sanoop@rightsolutions.ae,Cerfeuil,FRENCH,البقدونس الإفرنجي,ARABIC,batch 1
sanoop@rightsolutions.ae,Pectinate de calcium,FRENCH,البكتين الكالسيوم,ARABIC,batch 1
sanoop@rightsolutions.ae,Bentonite,FRENCH,البنتونايت,ARABIC,batch 1
sanoop@rightsolutions.ae,Butane,FRENCH,البوتان,ARABIC,batch 1
sanoop@rightsolutions.ae,Butane,FRENCH,البوتان,ARABIC,batch 1
sanoop@rightsolutions.ae,Bêta-carotène pour la couleur,FRENCH,البيتا كاروتين لإضافة اللون,ARABIC,batch 1
sanoop@rightsolutions.ae,Bêta-carotène pour la couleur,FRENCH,البيتا كاروتين لإضافة اللون,ARABIC,batch 1
sanoop@rightsolutions.ae,Biotine,FRENCH,البيوتين,ARABIC,batch 1
sanoop@rightsolutions.ae,Bouleau,FRENCH,التامول,ARABIC,batch 1
sanoop@rightsolutions.ae,Pommes déshydratées,FRENCH,التفاح المجفف,ARABIC,batch 1
sanoop@rightsolutions.ae,Myrtille,FRENCH,التوت البري,ARABIC,batch 1
sanoop@rightsolutions.ae,Canneberges,FRENCH,التوت البري,ARABIC,batch 1
sanoop@rightsolutions.ae,Canneberge,FRENCH,التوت البري,ARABIC,batch 1
sanoop@rightsolutions.ae,Ciboulette,FRENCH,الثوم المعمر,ARABIC,batch 1
sanoop@rightsolutions.ae,Roquette,FRENCH,الجرجير,ARABIC,batch 1
sanoop@rightsolutions.ae,Agrumes Rouge 2,FRENCH,الحمضيات الحمراء 2,ARABIC,batch 1
sanoop@rightsolutions.ae,Sarrasin,FRENCH,الحنطة السوداء,ARABIC,batch 1
sanoop@rightsolutions.ae,Pain bédouin,FRENCH,الخبز البدوي,ARABIC,batch 1
sanoop@rightsolutions.ae,Crapet arlequin,FRENCH,الخيشوم,ARABIC,batch 1
sanoop@rightsolutions.ae,Aldéhyde C-18,FRENCH,الداهايد سي-18,ARABIC,batch 1
sanoop@rightsolutions.ae,Aldéhyde C-9,FRENCH,الداهايد سي-9,ARABIC,batch 1
sanoop@rightsolutions.ae,Poulet déshydraté,FRENCH,الدجاج المجفف,ARABIC,batch 1
sanoop@rightsolutions.ae,Crevette blanche chinoise,FRENCH,الروبيان الأبيض الصيني,ARABIC,batch 1
sanoop@rightsolutions.ae,Basilique,FRENCH,الريحان,ARABIC,batch 1
sanoop@rightsolutions.ae,Citral,FRENCH,السترال,ARABIC,batch 1
sanoop@rightsolutions.ae,Magie noire,FRENCH,السحر الأسود,ARABIC,batch 1
sanoop@rightsolutions.ae,Calories provenant des lipides,FRENCH,السعرات الحرارية من الدهون,ARABIC,batch 1
sanoop@rightsolutions.ae,Bettes,FRENCH,السلق,ARABIC,batch 1
sanoop@rightsolutions.ae,Cellulose,FRENCH,السلولوز,ARABIC,batch 1
sanoop@rightsolutions.ae,Cellulose,FRENCH,السلولوز,ARABIC,batch 1
sanoop@rightsolutions.ae,Diodontidae,FRENCH,السمكة المنتفخة,ARABIC,batch 1
sanoop@rightsolutions.ae,Acacia,FRENCH,السنط,ARABIC,batch 1
sanoop@rightsolutions.ae,Cystéine,FRENCH,السيستين,ARABIC,batch 1
sanoop@rightsolutions.ae,Cystéine,FRENCH,السيستين,ARABIC,batch 1
sanoop@rightsolutions.ae,Aneth,FRENCH,الشبت,ARABIC,batch 1
sanoop@rightsolutions.ae,Aneth et ses dérivés,FRENCH,الشبت ومشتقاته,ARABIC,batch 1
sanoop@rightsolutions.ae,Orge maltée,FRENCH,"الشعير، شراب",ARABIC,batch 1
sanoop@rightsolutions.ae,Racine de betterave,FRENCH,الشمندر,ARABIC,batch 1
sanoop@rightsolutions.ae,Rouge betterave,FRENCH,الشمندر الأحمر,ARABIC,batch 1
sanoop@rightsolutions.ae,Betterave Rouge - Bétanine,FRENCH,الشمندر الأحمر - البيتانين,ARABIC,batch 1
sanoop@rightsolutions.ae,Feuilles de betterave,FRENCH,الشمندر الأخضر,ARABIC,batch 1
sanoop@rightsolutions.ae,Betteraves déshydratées,FRENCH,"الشمندر، مجفف",ARABIC,batch 1
sanoop@rightsolutions.ae,Hobnobs au chocolat noir,FRENCH,الشوكولاتة الداكنة هوبس نوبس,ARABIC,batch 1
sanoop@rightsolutions.ae,Chocolat noir,FRENCH,الشوكولاته الداكنة,ARABIC,batch 1
sanoop@rightsolutions.ae,Kcal d'énergie,FRENCH,الطاقة بالكيلو سعرة حرارية,ARABIC,batch 1
sanoop@rightsolutions.ae,Onyx noir,FRENCH,العقيق الأسود,ARABIC,batch 1
sanoop@rightsolutions.ae,Cerf,FRENCH,الغزال,ARABIC,batch 1
sanoop@rightsolutions.ae,Chili,FRENCH,الفلفل الحار,ARABIC,batch 1
sanoop@rightsolutions.ae,Piment,FRENCH,الفلفل الحار,ARABIC,batch 1
sanoop@rightsolutions.ae,"Piment, Paprika",FRENCH,"الفلفل الحار ، الفلفل الحلو",ARABIC,batch 1
sanoop@rightsolutions.ae,"Piment, piment de cayenne",FRENCH,"الفلفل الحار ، الفلفل حريف",ARABIC,batch 1
sanoop@rightsolutions.ae,"Piment, Habanero",FRENCH,"الفلفل الحار ، هابانيرو",ARABIC,batch 1
sanoop@rightsolutions.ae,"Piment, jalapeno",FRENCH,"الفلفل الحار ، هالابينو",ARABIC,batch 1
sanoop@rightsolutions.ae,"Piment, piment Tabasco",FRENCH,الفلفل الحار والفلفل الحار,ARABIC,batch 1
sanoop@rightsolutions.ae,Poivron,FRENCH,الفلفل الحلو,ARABIC,batch 1
sanoop@rightsolutions.ae,Poivron,FRENCH,الفلفل الحلو,ARABIC,batch 1
sanoop@rightsolutions.ae,Poivre cerise,FRENCH,الفلفل الكرزي,ARABIC,batch 1
sanoop@rightsolutions.ae,Poivron,FRENCH,الفليفلة,ARABIC,batch 1
sanoop@rightsolutions.ae,Fèves,FRENCH,الفول,ARABIC,batch 1
sanoop@rightsolutions.ae,Clou de girofle,FRENCH,القرنفل,ARABIC,batch 1
sanoop@rightsolutions.ae,Pomme à la crème,FRENCH,القشطة,ARABIC,batch 1
sanoop@rightsolutions.ae,Anacardier,FRENCH,الكاجو,ARABIC,batch 1
sanoop@rightsolutions.ae,Carraghénane,FRENCH,الكاراجينان,ARABIC,batch 1
sanoop@rightsolutions.ae,Carraghénane,FRENCH,الكاراجينان,ARABIC,batch 1
sanoop@rightsolutions.ae,Carotènes,FRENCH,الكاروتينات,ARABIC,batch 1
sanoop@rightsolutions.ae,Caséine,FRENCH,الكازين,ARABIC,batch 1
sanoop@rightsolutions.ae,Solides de cacao,FRENCH,الكاكاو,ARABIC,batch 1
sanoop@rightsolutions.ae,Calcium (Ca),FRENCH,الكالسيوم,ARABIC,batch 1
