admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,Anoxomer,ENGLISH,E323 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Ammonium Lactate,ENGLISH,E328 إضافات مرطب الجلد,ARABIC,batch 1
sanoop@rightsolutions.ae,Ammonium Malate,ENGLISH,E349 إضافات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Ammonium Phosphatide,ENGLISH,E442 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Ammonium phosphatides,ENGLISH,E442 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Ammonium Polyphosphate,ENGLISH,E545 مكملات غذائية,ARABIC,batch 1
sanoop@rightsolutions.ae,Bartlett Pear,ENGLISH,اجاص بارتليت,ARABIC,batch 1
sanoop@rightsolutions.ae,Bartlett Pear,ENGLISH,اجاص بارتليت,ARABIC,batch 1
sanoop@rightsolutions.ae,Cadbury Celebrations,ENGLISH,احتفالات كادبوري,ARABIC,batch 1
sanoop@rightsolutions.ae,Citric acid esters of mono- and diglycerides of fatty acids,ENGLISH,استرات حامض الستريك أحادية وثنائي هليسيريد الأحماض الدهنية,ARABIC,batch 1
sanoop@rightsolutions.ae,Cations,ENGLISH,الايونات الموجبة,ARABIC,batch 1
sanoop@rightsolutions.ae,Aspartame,ENGLISH,الأسبارتام,ARABIC,batch 1
sanoop@rightsolutions.ae,Aspartame,ENGLISH,الأسبارتام,ARABIC,batch 1
sanoop@rightsolutions.ae,Colors and Coloring Adjuncts (),ENGLISH,الألوان وملحقات التلوين (),ARABIC,batch 1
sanoop@rightsolutions.ae,Colours and Colouring Adjuncts (),ENGLISH,الألوان وملحقات التلوين (),ARABIC,batch 1
sanoop@rightsolutions.ae,Fallow Deer,ENGLISH,الأيل الأسمر الأوروبي,ARABIC,batch 1
sanoop@rightsolutions.ae,Aubergine,ENGLISH,الباذنجان,ARABIC,batch 1
sanoop@rightsolutions.ae,Bulgur,ENGLISH,البرغل,ARABIC,batch 1
sanoop@rightsolutions.ae,Bergamot,ENGLISH,البرغموت,ARABIC,batch 1
sanoop@rightsolutions.ae,Black Plum,ENGLISH,البرقوق الأسود,ARABIC,batch 1
sanoop@rightsolutions.ae,Dehydrated onions,ENGLISH,البصل المجفف,ARABIC,batch 1
sanoop@rightsolutions.ae,Chervil,ENGLISH,البقدونس الإفرنجي,ARABIC,batch 1
sanoop@rightsolutions.ae,Calcium Pectinate,ENGLISH,البكتين الكالسيوم,ARABIC,batch 1
sanoop@rightsolutions.ae,Bentonite,ENGLISH,البنتونايت,ARABIC,batch 1
sanoop@rightsolutions.ae,Butane,ENGLISH,البوتان,ARABIC,batch 1
sanoop@rightsolutions.ae,Butane,ENGLISH,البوتان,ARABIC,batch 1
sanoop@rightsolutions.ae,Beta carotene for color,ENGLISH,البيتا كاروتين لإضافة اللون,ARABIC,batch 1
sanoop@rightsolutions.ae,Beta carotene for colour,ENGLISH,البيتا كاروتين لإضافة اللون,ARABIC,batch 1
sanoop@rightsolutions.ae,Biotin,ENGLISH,البيوتين,ARABIC,batch 1
sanoop@rightsolutions.ae,Birch,ENGLISH,التامول,ARABIC,batch 1
sanoop@rightsolutions.ae,Dehydrated apples,ENGLISH,التفاح المجفف,ARABIC,batch 1
sanoop@rightsolutions.ae,Blueberry,ENGLISH,التوت البري,ARABIC,batch 1
sanoop@rightsolutions.ae,Cranberries,ENGLISH,التوت البري,ARABIC,batch 1
sanoop@rightsolutions.ae,Cranberry,ENGLISH,التوت البري,ARABIC,batch 1
sanoop@rightsolutions.ae,Chives,ENGLISH,الثوم المعمر,ARABIC,batch 1
sanoop@rightsolutions.ae,Arugula,ENGLISH,الجرجير,ARABIC,batch 1
sanoop@rightsolutions.ae,Citrus Red 2,ENGLISH,الحمضيات الحمراء 2,ARABIC,batch 1
sanoop@rightsolutions.ae,Buckwheat,ENGLISH,الحنطة السوداء,ARABIC,batch 1
sanoop@rightsolutions.ae,Bedouin Bread,ENGLISH,الخبز البدوي,ARABIC,batch 1
sanoop@rightsolutions.ae,Bluegill,ENGLISH,الخيشوم,ARABIC,batch 1
sanoop@rightsolutions.ae,Aldehyde C-18,ENGLISH,الداهايد سي-18,ARABIC,batch 1
sanoop@rightsolutions.ae,Aldehyde C-9,ENGLISH,الداهايد سي-9,ARABIC,batch 1
sanoop@rightsolutions.ae,Dehydrated chicken,ENGLISH,الدجاج المجفف,ARABIC,batch 1
sanoop@rightsolutions.ae,Chinese White Shrimp,ENGLISH,الروبيان الأبيض الصيني,ARABIC,batch 1
sanoop@rightsolutions.ae,Basil,ENGLISH,الريحان,ARABIC,batch 1
sanoop@rightsolutions.ae,Citral,ENGLISH,السترال,ARABIC,batch 1
sanoop@rightsolutions.ae,Black Magic,ENGLISH,السحر الأسود,ARABIC,batch 1
sanoop@rightsolutions.ae,Calories from Fat,ENGLISH,السعرات الحرارية من الدهون,ARABIC,batch 1
sanoop@rightsolutions.ae,Chard,ENGLISH,السلق,ARABIC,batch 1
sanoop@rightsolutions.ae,Cellulose,ENGLISH,السلولوز,ARABIC,batch 1
sanoop@rightsolutions.ae,Cellulose,ENGLISH,السلولوز,ARABIC,batch 1
sanoop@rightsolutions.ae,Blowfish,ENGLISH,السمكة المنتفخة,ARABIC,batch 1
sanoop@rightsolutions.ae,Acacia,ENGLISH,السنط,ARABIC,batch 1
sanoop@rightsolutions.ae,Cysteine,ENGLISH,السيستين,ARABIC,batch 1
sanoop@rightsolutions.ae,Cysteine,ENGLISH,السيستين,ARABIC,batch 1
sanoop@rightsolutions.ae,Dill,ENGLISH,الشبت,ARABIC,batch 1
sanoop@rightsolutions.ae,Dill and Its Derivatives,ENGLISH,الشبت ومشتقاته,ARABIC,batch 1
sanoop@rightsolutions.ae,"Barley, Malted",ENGLISH,"الشعير، شراب",ARABIC,batch 1
sanoop@rightsolutions.ae,Beetroot,ENGLISH,الشمندر,ARABIC,batch 1
sanoop@rightsolutions.ae,Beet Red,ENGLISH,الشمندر الأحمر,ARABIC,batch 1
sanoop@rightsolutions.ae,Beetroot Red - Betanin,ENGLISH,الشمندر الأحمر - البيتانين,ARABIC,batch 1
sanoop@rightsolutions.ae,Beet Greens,ENGLISH,الشمندر الأخضر,ARABIC,batch 1
sanoop@rightsolutions.ae,"Beets, Dehydrated",ENGLISH,"الشمندر، مجفف",ARABIC,batch 1
sanoop@rightsolutions.ae,Dark Chocolate Hobnobs,ENGLISH,الشوكولاتة الداكنة هوبس نوبس,ARABIC,batch 1
sanoop@rightsolutions.ae,Dark Chocolate,ENGLISH,الشوكولاته الداكنة,ARABIC,batch 1
sanoop@rightsolutions.ae,Energy kcal,ENGLISH,الطاقة بالكيلو سعرة حرارية,ARABIC,batch 1
sanoop@rightsolutions.ae,Black Onyx,ENGLISH,العقيق الأسود,ARABIC,batch 1
sanoop@rightsolutions.ae,Deer,ENGLISH,الغزال,ARABIC,batch 1
sanoop@rightsolutions.ae,Chili,ENGLISH,الفلفل الحار,ARABIC,batch 1
