admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,Biotin,ENGLISH,بيوتين,ARABIC,
sanoop@rightsolutions.ae,Xylitol,ENGLISH,إكسيليتول,ARABIC,
sanoop@rightsolutions.ae,Amino Acids,ENGLISH,أحماض أمينية,ARABIC,
sanoop@rightsolutions.ae,Zinc Acetate,ENGLISH,أسيتات الزنك,ARABIC,
sanoop@rightsolutions.ae,Acesulfame Potassium,ENGLISH,أسيسلفام البوتاسيوم,ARABIC,
sanoop@rightsolutions.ae,Yellow Prussiate of Soda,ENGLISH,أصفر سيانيد الصودا,ARABIC,
sanoop@rightsolutions.ae,Acacia,ENGLISH,أقاقيا,ARABIC,
sanoop@rightsolutions.ae,Acrolein,ENGLISH,أكرولين,ARABIC,
sanoop@rightsolutions.ae,Zinc Oxide,ENGLISH,أكسيد الزنك,ARABIC,
sanoop@rightsolutions.ae,Aldehyde C-16,ENGLISH,ألدهيد سي-16,ARABIC,
sanoop@rightsolutions.ae,Aldehyde C-18,ENGLISH,ألدهيد سي-18,ARABIC,
sanoop@rightsolutions.ae,Aldehyde C-9,ENGLISH,ألدهيد سي-9,ARABIC,
sanoop@rightsolutions.ae,Bay Leaves,ENGLISH,أوراق الغار,ARABIC,
sanoop@rightsolutions.ae,Bulgur,ENGLISH,برغل,ARABIC,
sanoop@rightsolutions.ae,Cocoa Powder,ENGLISH,بودرة الكاكاو,ARABIC,
sanoop@rightsolutions.ae,Alpha-Tocopherol,ENGLISH,توكوفيرول ألفا,ARABIC,
sanoop@rightsolutions.ae,Coconut,ENGLISH,جوز هند,ARABIC,
sanoop@rightsolutions.ae,"Coconut, Desiccated",ENGLISH,جوز هند مجفف,ARABIC,
sanoop@rightsolutions.ae,Acetic Acid,ENGLISH,حمض الاسيتيك,ARABIC,
sanoop@rightsolutions.ae,Adipic Acid,ENGLISH,حمض الأديبيك,ARABIC,
sanoop@rightsolutions.ae,Alginic Acid,ENGLISH,حمض الألجنيك,ARABIC,
sanoop@rightsolutions.ae,Apple Vinegar,ENGLISH,خل التفاح,ARABIC,
sanoop@rightsolutions.ae,Yeast Extract,ENGLISH,خلاصة الخميرة,ARABIC,
sanoop@rightsolutions.ae,Baker’s Yeast Extract,ENGLISH,خلاصة الخميرة الخباز,ARABIC,
sanoop@rightsolutions.ae,Yeast,ENGLISH,خميرة,ARABIC,
sanoop@rightsolutions.ae,Bleached Flour,ENGLISH,دقيق ابيض,ARABIC,
sanoop@rightsolutions.ae,Corn Flour,ENGLISH,دقيق الذرة,ARABIC,
sanoop@rightsolutions.ae,Corn,ENGLISH,ذرة,ARABIC,
sanoop@rightsolutions.ae,Agave Nectar,ENGLISH,رحيق الصبار,ARABIC,
sanoop@rightsolutions.ae,Basil,ENGLISH,ريحان,ARABIC,
sanoop@rightsolutions.ae,Yogurt,ENGLISH,زبادي,ARABIC,
sanoop@rightsolutions.ae,Cocoa Butter,ENGLISH,زبدة الكاكاو,ARABIC,
sanoop@rightsolutions.ae,Zinc,ENGLISH,زنك,ARABIC,
sanoop@rightsolutions.ae,Corn Oil,ENGLISH,زيت الذرة,ARABIC,
sanoop@rightsolutions.ae,Almond Oil,ENGLISH,زيت اللوز,ARABIC,
sanoop@rightsolutions.ae,Coconut Oil,ENGLISH,زيت جوز الهند,ARABIC,
sanoop@rightsolutions.ae,Zinc Citrate,ENGLISH,ستيرات الزنك,ARABIC,
sanoop@rightsolutions.ae,Zinc Stearate,ENGLISH,ستيرات الزنك,ARABIC,
sanoop@rightsolutions.ae,Alum,ENGLISH,شبة,ARABIC,
sanoop@rightsolutions.ae,Cocoa Liquor,ENGLISH,شراب الكاكاو,ARABIC,
sanoop@rightsolutions.ae,Barley,ENGLISH,شعير,ARABIC,
sanoop@rightsolutions.ae,Beeswax,ENGLISH,شمع العسل,ARABIC,
sanoop@rightsolutions.ae,Xanthan Gum,ENGLISH,صمغ الزانثان,ARABIC,
sanoop@rightsolutions.ae,All-Purpose Flour,ENGLISH,طحين متعدد الاستعمالات,ARABIC,
sanoop@rightsolutions.ae,Almond Paste,ENGLISH,عجين اللوز,ARABIC,
sanoop@rightsolutions.ae,Zinc Gluconate,ENGLISH,غلوكونات الزنك,ARABIC,
sanoop@rightsolutions.ae,Copper Gluconate,ENGLISH,غلوكونات النحاس,ARABIC,
sanoop@rightsolutions.ae,Allspice,ENGLISH,فلفل حلو,ARABIC,
sanoop@rightsolutions.ae,Clove,ENGLISH,قرنفل,ARABIC,
sanoop@rightsolutions.ae,Coarse-Ground Wheat,ENGLISH,قمح خشن مطحون,ARABIC,
sanoop@rightsolutions.ae,Aluminum Sulfate,ENGLISH,كبريتات الألومنيوم,ARABIC,
sanoop@rightsolutions.ae,Zinc Sulfate,ENGLISH,كبريتات الزنك,ARABIC,
sanoop@rightsolutions.ae,Copper Sulfate,ENGLISH,كبريتات النحاس,ARABIC,
sanoop@rightsolutions.ae,Zinc Carbonate,ENGLISH,كربونات الزنك,ARABIC,
sanoop@rightsolutions.ae,Coriander,ENGLISH,كزبرة,ARABIC,
sanoop@rightsolutions.ae,Zinc Chloride,ENGLISH,كلوريد الزنك,ARABIC,
sanoop@rightsolutions.ae,Collagen,ENGLISH,كولاجين,ARABIC,
sanoop@rightsolutions.ae,Almond,ENGLISH,لوز,ARABIC,
sanoop@rightsolutions.ae,Butter Fat,ENGLISH,مخيض اللبن,ARABIC,
sanoop@rightsolutions.ae,"Buttermilk, Dried",ENGLISH,مخيض اللبن المجفف,ARABIC,
sanoop@rightsolutions.ae,Yeast-Malt Sprout Extract,ENGLISH,مستخلص خميرة الشعير,ARABIC,
sanoop@rightsolutions.ae,Yucca Plant Extract,ENGLISH,مستخلص نبات اليوكا,ARABIC,
sanoop@rightsolutions.ae,Antioxidants,ENGLISH,مضادات الأكسدة,ARABIC,
sanoop@rightsolutions.ae,Copper,ENGLISH,نحاس,ARABIC,
sanoop@rightsolutions.ae,Bran,ENGLISH,نخالة,ARABIC,
sanoop@rightsolutions.ae,Cornstarch,ENGLISH,نشا الذرة,ARABIC,
sanoop@rightsolutions.ae,Aluminum Nicotinate,ENGLISH,نيكوتينات الألمنيوم,ARABIC,
